dummy_case_field,ICD-9-CM Code,ICD-9-CM Code No Dec,ICD-9-CM Short Description,ICD-9-CM Long Description,AHRQ CCS Single Level Diagnosis Category Code,AHRQ CCS Single Level Diagnosis Category Name,Ursa Serial ID
,435.0,4350,Basilar artery syndrome,Basilar artery syndrome,112,Transient cerebral ischemia,4846
,435.1,4351,Vertebral artery syndrom,Vertebral artery syndrome,112,Transient cerebral ischemia,4847
,435.2,4352,Subclavian steal syndrom,Subclavian steal syndrome,112,Transient cerebral ischemia,4848
,435.3,4353,Vertbrobaslr artery synd,Vertebrobasilar artery syndrome,112,Transient cerebral ischemia,4849
,435.8,4358,Trans cereb ischemia NEC,Other specified transient cerebral ischemias,112,Transient cerebral ischemia,4850
,435.9,4359,Trans cereb ischemia NOS,Unspecified transient cerebral ischemia,112,Transient cerebral ischemia,4851
,436,436,Cva,"Acute, but ill-defined, cerebrovascular disease",109,Acute cerebrovascular disease,4852
,437.0,4370,Cerebral atherosclerosis,Cerebral atherosclerosis,111,Other and ill-defined cerebrovascular disease,4853
,437.1,4371,Ac cerebrovasc insuf NOS,Other generalized ischemic cerebrovascular disease,111,Other and ill-defined cerebrovascular disease,4854
,437.2,4372,Hypertens encephalopathy,Hypertensive encephalopathy,99,Hypertension with complications and secondary hypertension,4855
,437.3,4373,Nonrupt cerebral aneurym,"Cerebral aneurysm, nonruptured",111,Other and ill-defined cerebrovascular disease,4856
,437.4,4374,Cerebral arteritis,Cerebral arteritis,111,Other and ill-defined cerebrovascular disease,4857
,437.5,4375,Moyamoya disease,Moyamoya disease,111,Other and ill-defined cerebrovascular disease,4858
,437.6,4376,Nonpyogen thrombos sinus,Nonpyogenic thrombosis of intracranial venous sinus,111,Other and ill-defined cerebrovascular disease,4859
,437.7,4377,Transient global amnesia,Transient global amnesia,111,Other and ill-defined cerebrovascular disease,4860
,437.8,4378,Cerebrovasc disease NEC,Other ill-defined cerebrovascular disease,111,Other and ill-defined cerebrovascular disease,4861
,437.9,4379,Cerebrovasc disease NOS,Unspecified cerebrovascular disease,111,Other and ill-defined cerebrovascular disease,4862
,438.0,4380,Late ef CV dis-cognf def,"Late effects of cerebrovascular disease, cognitive deficits",113,Late effects of cerebrovascular disease,4863
,438.10,43810,Late ef-spch/lng def NOS,"Late effects of cerebrovascular disease, speech and language deficit, unspecified",113,Late effects of cerebrovascular disease,4864
,438.11,43811,Late eff CV dis-aphasia,"Late effects of cerebrovascular disease, aphasia",113,Late effects of cerebrovascular disease,4865
,438.12,43812,Late eff CV dis-dysphsia,"Late effects of cerebrovascular disease, dysphasia",113,Late effects of cerebrovascular disease,4866
,438.13,43813,Late eff CV-dysarthria,"Late effects of cerebrovascular disease, dysarthria",113,Late effects of cerebrovascular disease,4867
,438.14,43814,Late eff CV-fluency dis,"Late effects of cerebrovascular disease, fluency disorder",113,Late effects of cerebrovascular disease,4868
,438.19,43819,Late ef-spch/lang df NEC,"Late effects of cerebrovascular disease, other speech and language deficits",113,Late effects of cerebrovascular disease,4869
,438.20,43820,Late ef-hemplga side NOS,"Late effects of cerebrovascular disease, hemiplegia affecting unspecified side",113,Late effects of cerebrovascular disease,4870
,438.21,43821,Late ef-hemplga dom side,"Late effects of cerebrovascular disease, hemiplegia affecting dominant side",113,Late effects of cerebrovascular disease,4871
,438.22,43822,Late ef-hemiplga non-dom,"Late effects of cerebrovascular disease, hemiplegia affecting nondominant side",113,Late effects of cerebrovascular disease,4872
,438.30,43830,Late ef-mplga up lmb NOS,"Late effects of cerebrovascular disease, monoplegia of upper limb affecting unspecified side",113,Late effects of cerebrovascular disease,4873
,438.31,43831,Late ef-mplga up lmb dom,"Late effects of cerebrovascular disease, monoplegia of upper limb affecting dominant side",113,Late effects of cerebrovascular disease,4874
,438.32,43832,Lt ef-mplga uplmb nondom,"Late effects of cerebrovascular disease, monoplegia of upper limb affecting nondominant side",113,Late effects of cerebrovascular disease,4875
,438.40,43840,Lte ef-mplga low lmb NOS,"Late effects of cerebrovascular disease, monoplegia of lower limb affecting unspecified side",113,Late effects of cerebrovascular disease,4876
,438.41,43841,Lte ef-mplga low lmb dom,"Late effects of cerebrovascular disease, monoplegia of lower limb affecting dominant side",113,Late effects of cerebrovascular disease,4877
,438.42,43842,Lt ef-mplga lowlmb nondm,"Late effects of cerebrovascular disease, monoplegia of lower limb affecting nondominant side",113,Late effects of cerebrovascular disease,4878
,438.50,43850,Lt ef oth paral side NOS,"Late effects of cerebrovascular disease, other paralytic syndrome affecting unspecified side",113,Late effects of cerebrovascular disease,4879
,438.51,43851,Lt ef oth paral dom side,"Late effects of cerebrovascular disease, other paralytic syndrome affecting dominant side",113,Late effects of cerebrovascular disease,4880
,438.52,43852,Lt ef oth parals non-dom,"Late effects of cerebrovascular disease, other paralytic syndrome affecting nondominant side",113,Late effects of cerebrovascular disease,4881
,438.53,43853,Lt ef oth parals-bilat,"Late effects of cerebrovascular disease, other paralytic syndrome, bilateral",113,Late effects of cerebrovascular disease,4882
,438.6,4386,Alteration of sensations,"Late effects of cerebrovascular disease, alterations of sensations",113,Late effects of cerebrovascular disease,4883
,438.7,4387,Disturbances of vision,"Late effects of cerebrovascular disease, disturbances of vision",113,Late effects of cerebrovascular disease,4884
,438.81,43881,Late eff CV dis-apraxia,"Other late effects of cerebrovascular disease, apraxia",113,Late effects of cerebrovascular disease,4885
,438.82,43882,Late ef CV dis dysphagia,"Other late effects of cerebrovascular disease, dysphagia",113,Late effects of cerebrovascular disease,4886
,438.83,43883,Facial weakness,"Other late effects of cerebrovascular disease, facial weakness",113,Late effects of cerebrovascular disease,4887
,438.84,43884,Ataxia,"Other late effects of cerebrovascular disease, ataxia",113,Late effects of cerebrovascular disease,4888
,438.85,43885,Vertigo,"Other late effects of cerebrovascular disease, vertigo",113,Late effects of cerebrovascular disease,4889
,438.89,43889,Late effect CV dis NEC,Other late effects of cerebrovascular disease,113,Late effects of cerebrovascular disease,4890
,438.9,4389,Late effect CV dis NOS,Unspecified late effects of cerebrovascular disease,113,Late effects of cerebrovascular disease,4891
,440.0,4400,Aortic atherosclerosis,Atherosclerosis of aorta,114,Peripheral and visceral atherosclerosis,4892
,440.1,4401,Renal artery atheroscler,Atherosclerosis of renal artery,114,Peripheral and visceral atherosclerosis,4893
,440.20,44020,Athscl extrm ntv art NOS,"Atherosclerosis of native arteries of the extremities, unspecified",114,Peripheral and visceral atherosclerosis,4894
,440.21,44021,Ath ext ntv at w claudct,Atherosclerosis of native arteries of the extremities with intermittent claudication,114,Peripheral and visceral atherosclerosis,4895
,440.22,44022,Ath ext ntv at w rst pn,Atherosclerosis of native arteries of the extremities with rest pain,114,Peripheral and visceral atherosclerosis,4896
,440.23,44023,Ath ext ntv art ulcrtion,Atherosclerosis of native arteries of the extremities with ulceration,114,Peripheral and visceral atherosclerosis,4897
,440.24,44024,Ath ext ntv art gngrene,Atherosclerosis of native arteries of the extremities with gangrene,248,Gangrene,4898
,440.29,44029,Athrsc extrm ntv art oth,Other atherosclerosis of native arteries of the extremities,114,Peripheral and visceral atherosclerosis,4899
,440.30,44030,Athscl extrm bps gft NOS,Atherosclerosis of unspecified bypass graft of the extremities,237,Complication of device; implant or graft,4900
,440.31,44031,Ath ext autologs bps gft,Atherosclerosis of autologous vein bypass graft of the extremities,237,Complication of device; implant or graft,4901
,440.32,44032,Ath ext nonautlg bps gft,Atherosclerosis of nonautologous biological bypass graft of the extremities,237,Complication of device; implant or graft,4902
,440.4,4404,Chr tot occl art extrem,Chronic total occlusion of artery of the extremities,114,Peripheral and visceral atherosclerosis,4903
,440.8,4408,Atherosclerosis NEC,Atherosclerosis of other specified arteries,114,Peripheral and visceral atherosclerosis,4904
,440.9,4409,Atherosclerosis NOS,Generalized and unspecified atherosclerosis,114,Peripheral and visceral atherosclerosis,4905
,441.00,44100,Dsct of aorta unsp site,"Dissection of aorta, unspecified site",115,Aortic; peripheral; and visceral artery aneurysms,4906
,441.01,44101,Dsct of thoracic aorta,"Dissection of aorta, thoracic",115,Aortic; peripheral; and visceral artery aneurysms,4907
,441.02,44102,Dsct of abdominal aorta,"Dissection of aorta, abdominal",115,Aortic; peripheral; and visceral artery aneurysms,4908
,441.03,44103,Dsct of thoracoabd aorta,"Dissection of aorta, thoracoabdominal",115,Aortic; peripheral; and visceral artery aneurysms,4909
,441.1,4411,Ruptur thoracic aneurysm,"Thoracic aneurysm, ruptured",115,Aortic; peripheral; and visceral artery aneurysms,4910
,441.2,4412,Thoracic aortic aneurysm,Thoracic aneurysm without mention of rupture,115,Aortic; peripheral; and visceral artery aneurysms,4911
,441.3,4413,Rupt abd aortic aneurysm,"Abdominal aneurysm, ruptured",115,Aortic; peripheral; and visceral artery aneurysms,4912
,441.4,4414,Abdom aortic aneurysm,Abdominal aneurysm without mention of rupture,115,Aortic; peripheral; and visceral artery aneurysms,4913
,441.5,4415,Rupt aortic aneurysm NOS,"Aortic aneurysm of unspecified site, ruptured",115,Aortic; peripheral; and visceral artery aneurysms,4914
,441.6,4416,Thoracoabd aneurysm rupt,"Thoracoabdominal aneurysm, ruptured",115,Aortic; peripheral; and visceral artery aneurysms,4915
,441.7,4417,Thracabd anurysm wo rupt,"Thoracoabdominal aneurysm, without mention of rupture",115,Aortic; peripheral; and visceral artery aneurysms,4916
,441.9,4419,Aortic aneurysm NOS,Aortic aneurysm of unspecified site without mention of rupture,115,Aortic; peripheral; and visceral artery aneurysms,4917
,442.0,4420,Upper extremity aneurysm,Aneurysm of artery of upper extremity,115,Aortic; peripheral; and visceral artery aneurysms,4918
,442.1,4421,Renal artery aneurysm,Aneurysm of renal artery,115,Aortic; peripheral; and visceral artery aneurysms,4919
,442.2,4422,Iliac artery aneurysm,Aneurysm of iliac artery,115,Aortic; peripheral; and visceral artery aneurysms,4920
,442.3,4423,Lower extremity aneurysm,Aneurysm of artery of lower extremity,115,Aortic; peripheral; and visceral artery aneurysms,4921
,442.81,44281,Aneurysm of neck,Aneurysm of artery of neck,115,Aortic; peripheral; and visceral artery aneurysms,4922
,442.82,44282,Subclavian aneurysm,Aneurysm of subclavian artery,115,Aortic; peripheral; and visceral artery aneurysms,4923
,442.83,44283,Splenic artery aneurysm,Aneurysm of splenic artery,115,Aortic; peripheral; and visceral artery aneurysms,4924
,442.84,44284,Visceral aneurysm NEC,Aneurysm of other visceral artery,115,Aortic; peripheral; and visceral artery aneurysms,4925
,442.89,44289,Aneurysm NEC,Aneurysm of other specified artery,115,Aortic; peripheral; and visceral artery aneurysms,4926
,442.9,4429,Aneurysm NOS,Aneurysm of unspecified site,115,Aortic; peripheral; and visceral artery aneurysms,4927
,443.0,4430,Raynaud's syndrome,Raynaud's syndrome,117,Other circulatory disease,4928
,443.1,4431,Thromboangiit obliterans,Thromboangiitis obliterans [Buerger's disease],117,Other circulatory disease,4929
,443.21,44321,Dissect carotid artery,Dissection of carotid artery,115,Aortic; peripheral; and visceral artery aneurysms,4930
,443.22,44322,Dissection iliac artery,Dissection of iliac artery,115,Aortic; peripheral; and visceral artery aneurysms,4931
,443.23,44323,Dissection renal artery,Dissection of renal artery,115,Aortic; peripheral; and visceral artery aneurysms,4932
,443.24,44324,Dissect vertebral artery,Dissection of vertebral artery,115,Aortic; peripheral; and visceral artery aneurysms,4933
,443.29,44329,Dissection artery NEC,Dissection of other artery,115,Aortic; peripheral; and visceral artery aneurysms,4934
,443.81,44381,Angiopathy in other dis,Peripheral angiopathy in diseases classified elsewhere,117,Other circulatory disease,4935
,443.82,44382,Erythromelalgia,Erythromelalgia,117,Other circulatory disease,4936
,443.89,44389,Periph vascular dis NEC,Other specified peripheral vascular diseases,117,Other circulatory disease,4937
,443.9,4439,Periph vascular dis NOS,"Peripheral vascular disease, unspecified",114,Peripheral and visceral atherosclerosis,4938
,444.01,44401,Saddle embolus abd aorta,Saddle embolus of abdominal aorta,116,Aortic and peripheral arterial embolism or thrombosis,4939
,444.09,44409,Ot art emb/thrm abd aort,Other arterial embolism and thrombosis of abdominal aorta,116,Aortic and peripheral arterial embolism or thrombosis,4940
,444.1,4441,Thoracic aortic embolism,Embolism and thrombosis of thoracic aorta,116,Aortic and peripheral arterial embolism or thrombosis,4941
,444.21,44421,Upper extremity embolism,Arterial embolism and thrombosis of upper extremity,116,Aortic and peripheral arterial embolism or thrombosis,4942
,444.22,44422,Lower extremity embolism,Arterial embolism and thrombosis of lower extremity,116,Aortic and peripheral arterial embolism or thrombosis,4943
,444.81,44481,Iliac artery embolism,Embolism and thrombosis of iliac artery,116,Aortic and peripheral arterial embolism or thrombosis,4944
,444.89,44489,Arterial embolism NEC,Embolism and thrombosis of other specified artery,116,Aortic and peripheral arterial embolism or thrombosis,4945
,444.9,4449,Arterial embolism NOS,Embolism and thrombosis of unspecified artery,116,Aortic and peripheral arterial embolism or thrombosis,4946
,445.01,44501,"Atheroembolism,upper ext",Atheroembolism of upper extremity,116,Aortic and peripheral arterial embolism or thrombosis,4947
,445.02,44502,"Atheroembolism,lower ext",Atheroembolism of lower extremity,116,Aortic and peripheral arterial embolism or thrombosis,4948
,445.81,44581,"Atheroembolism, kidney",Atheroembolism of kidney,116,Aortic and peripheral arterial embolism or thrombosis,4949
,445.89,44589,"Atheroembolism, site NEC",Atheroembolism of other site,116,Aortic and peripheral arterial embolism or thrombosis,4950
,446.0,4460,Polyarteritis nodosa,Polyarteritis nodosa,117,Other circulatory disease,4951
,446.1,4461,Mucocutan lymph node syn,Acute febrile mucocutaneous lymph node syndrome [MCLS],117,Other circulatory disease,4952
,446.20,44620,Hypersensit angiitis NOS,"Hypersensitivity angiitis, unspecified",117,Other circulatory disease,4953
,446.21,44621,Goodpasture's syndrome,Goodpasture's syndrome,117,Other circulatory disease,4954
,446.29,44629,Hypersensit angiitis NEC,Other specified hypersensitivity angiitis,117,Other circulatory disease,4955
,446.3,4463,Lethal midline granuloma,Lethal midline granuloma,117,Other circulatory disease,4956
,446.4,4464,Wegener's granulomatosis,Wegener's granulomatosis,117,Other circulatory disease,4957
,446.5,4465,Giant cell arteritis,Giant cell arteritis,117,Other circulatory disease,4958
,446.6,4466,Thrombot microangiopathy,Thrombotic microangiopathy,117,Other circulatory disease,4959
,446.7,4467,Takayasu's disease,Takayasu's disease,117,Other circulatory disease,4960
,447.0,4470,Acq arterioven fistula,"Arteriovenous fistula, acquired",117,Other circulatory disease,4961
,447.1,4471,Stricture of artery,Stricture of artery,117,Other circulatory disease,4962
,447.2,4472,Rupture of artery,Rupture of artery,117,Other circulatory disease,4963
,447.3,4473,Renal artery hyperplasia,Hyperplasia of renal artery,117,Other circulatory disease,4964
,447.4,4474,Celiac art compress syn,Celiac artery compression syndrome,117,Other circulatory disease,4965
,447.5,4475,Necrosis of artery,Necrosis of artery,117,Other circulatory disease,4966
,447.6,4476,Arteritis NOS,"Arteritis, unspecified",117,Other circulatory disease,4967
,447.70,44770,"Aortic ectasia, site NOS","Aortic ectasia, unspecified site",115,Aortic; peripheral; and visceral artery aneurysms,4968
,447.71,44771,Thoracic aortic ectasia,Thoracic aortic ectasia,115,Aortic; peripheral; and visceral artery aneurysms,4969
,447.72,44772,Abdominal aortic ectasia,Abdominal aortic ectasia,115,Aortic; peripheral; and visceral artery aneurysms,4970
,447.73,44773,Thoracoabd aortc ectasia,Thoracoabdominal aortic ectasia,115,Aortic; peripheral; and visceral artery aneurysms,4971
,447.8,4478,Arterial disease NEC,Other specified disorders of arteries and arterioles,117,Other circulatory disease,4972
,447.9,4479,Arterial disease NOS,Unspecified disorders of arteries and arterioles,117,Other circulatory disease,4973
,448.0,4480,Heredit hemorr telangiec,Hereditary hemorrhagic telangiectasia,117,Other circulatory disease,4974
,448.1,4481,"Nevus, non-neoplastic","Nevus, non-neoplastic",117,Other circulatory disease,4975
,448.9,4489,Capillary dis NEC/NOS,Other and unspecified capillary diseases,117,Other circulatory disease,4976
,449,449,Septic arterial embolism,Septic arterial embolism,2,Septicemia (except in labor),4977
,451.0,4510,Superfic phlebitis-leg,Phlebitis and thrombophlebitis of superficial vessels of lower extremities,118,Phlebitis; thrombophlebitis and thromboembolism,4978
,451.11,45111,Femoral vein phlebitis,Phlebitis and thrombophlebitis of femoral vein (deep) (superficial),118,Phlebitis; thrombophlebitis and thromboembolism,4979
,451.19,45119,Deep phlebitis-leg NEC,"Phlebitis and thrombophlebitis of deep veins of lower extremities, other",118,Phlebitis; thrombophlebitis and thromboembolism,4980
,451.2,4512,Thrombophlebitis leg NOS,"Phlebitis and thrombophlebitis of lower extremities, unspecified",118,Phlebitis; thrombophlebitis and thromboembolism,4981
,451.81,45181,Iliac thrombophlebitis,Phlebitis and thrombophlebitis of iliac vein,118,Phlebitis; thrombophlebitis and thromboembolism,4982
,451.82,45182,Phlbts sprfc vn up extrm,Phlebitis and thrombophlebitis of superficial veins of upper extremities,118,Phlebitis; thrombophlebitis and thromboembolism,4983
,451.83,45183,Phlbts deep vn up extrm,Phlebitis and thrombophlebitis of deep veins of upper extremities,118,Phlebitis; thrombophlebitis and thromboembolism,4984
,451.84,45184,Phlbts vn NOS up extrm,"Phlebitis and thrombophlebitis of upper extremities, unspecified",118,Phlebitis; thrombophlebitis and thromboembolism,4985
,451.89,45189,Thrombophlebitis NEC,Phlebitis and thrombophlebitis of other sites,118,Phlebitis; thrombophlebitis and thromboembolism,4986
,451.9,4519,Thrombophlebitis NOS,Phlebitis and thrombophlebitis of unspecified site,118,Phlebitis; thrombophlebitis and thromboembolism,4987
,452,452,Portal vein thrombosis,Portal vein thrombosis,118,Phlebitis; thrombophlebitis and thromboembolism,4988
,453.0,4530,Budd-chiari syndrome,Budd-chiari syndrome,118,Phlebitis; thrombophlebitis and thromboembolism,4989
,453.1,4531,Thrombophlebitis migrans,Thrombophlebitis migrans,118,Phlebitis; thrombophlebitis and thromboembolism,4990
,453.2,4532,Oth inf vena cava thromb,Other venous embolism and thrombosis of inferior vena cava,118,Phlebitis; thrombophlebitis and thromboembolism,4991
,453.3,4533,Renal vein thrombosis,Other venous embolism and thrombosis of renal vein,118,Phlebitis; thrombophlebitis and thromboembolism,4992
,453.40,45340,Ac DVT/embl low ext NOS,Acute venous embolism and thrombosis of unspecified deep vessels of lower extremity,118,Phlebitis; thrombophlebitis and thromboembolism,4993
,453.41,45341,Ac DVT/emb prox low ext,Acute venous embolism and thrombosis of deep vessels of proximal lower extremity,118,Phlebitis; thrombophlebitis and thromboembolism,4994
,453.42,45342,Ac DVT/emb distl low ext,Acute venous embolism and thrombosis of deep vessels of distal lower extremity,118,Phlebitis; thrombophlebitis and thromboembolism,4995
,453.50,45350,Ch DVT/embl low ext NOS,Chronic venous embolism and thrombosis of unspecified deep vessels of lower extremity,118,Phlebitis; thrombophlebitis and thromboembolism,4996
,453.51,45351,Ch DVT/embl prox low ext,Chronic venous embolism and thrombosis of deep vessels of proximal lower extremity,118,Phlebitis; thrombophlebitis and thromboembolism,4997
,453.52,45352,Ch DVT/embl dstl low ext,Chronic venous embolism and thrombosis of deep vessels of distal lower extremity,118,Phlebitis; thrombophlebitis and thromboembolism,4998
,453.6,4536,Embl suprfcl ves low ext,Venous embolism and thrombosis of superficial vessels of lower extremity,118,Phlebitis; thrombophlebitis and thromboembolism,4999
,453.71,45371,Ch emblsm suprfcl up ext,Chronic venous embolism and thrombosis of superficial veins of upper extremity,118,Phlebitis; thrombophlebitis and thromboembolism,5000
,453.72,45372,Ch DVT/embl up ext,Chronic venous embolism and thrombosis of deep veins of upper extremity,118,Phlebitis; thrombophlebitis and thromboembolism,5001
,453.73,45373,Ch emblsm up ext NOS,"Chronic venous embolism and thrombosis of upper extremity, unspecified",118,Phlebitis; thrombophlebitis and thromboembolism,5002
,453.74,45374,Ch emblsm axillary veins,Chronic venous embolism and thrombosis of axillary veins,118,Phlebitis; thrombophlebitis and thromboembolism,5003
,453.75,45375,Ch emblsm subclav veins,Chronic venous embolism and thrombosis of subclavian veins,118,Phlebitis; thrombophlebitis and thromboembolism,5004
,453.76,45376,Ch embl internl jug vein,Chronic venous embolism and thrombosis of internal jugular veins,118,Phlebitis; thrombophlebitis and thromboembolism,5005
,453.77,45377,Ch embl thorac vein NEC,Chronic venous embolism and thrombosis of other thoracic veins,118,Phlebitis; thrombophlebitis and thromboembolism,5006
,453.79,45379,Ch emblsm veins NEC,Chronic venous embolism and thrombosis of other specified veins,118,Phlebitis; thrombophlebitis and thromboembolism,5007
,453.81,45381,Ac embl suprfcl up ext,Acute venous embolism and thrombosis of superficial veins of upper extremity,118,Phlebitis; thrombophlebitis and thromboembolism,5008
,453.82,45382,Ac DVT/embl up ext,Acute venous embolism and thrombosis of deep veins of upper extremity,118,Phlebitis; thrombophlebitis and thromboembolism,5009
,453.83,45383,Ac emblsm up ext NOS,"Acute venous embolism and thrombosis of upper extremity, unspecified",118,Phlebitis; thrombophlebitis and thromboembolism,5010
,453.84,45384,Ac emblsm axillary veins,Acute venous embolism and thrombosis of axillary veins,118,Phlebitis; thrombophlebitis and thromboembolism,5011
,453.85,45385,Ac embl subclav veins,Acute venous embolism and thrombosis of subclavian veins,118,Phlebitis; thrombophlebitis and thromboembolism,5012
,453.86,45386,Ac embl internl jug vein,Acute venous embolism and thrombosis of internal jugular veins,118,Phlebitis; thrombophlebitis and thromboembolism,5013
,453.87,45387,Ac embl thorac vein NEC,Acute venous embolism and thrombosis of other thoracic veins,118,Phlebitis; thrombophlebitis and thromboembolism,5014
,453.89,45389,Ac embolism veins NEC,Acute venous embolism and thrombosis of other specified veins,118,Phlebitis; thrombophlebitis and thromboembolism,5015
,453.9,4539,Venous thrombosis NOS,Other venous embolism and thrombosis of unspecified site,118,Phlebitis; thrombophlebitis and thromboembolism,5016
,454.0,4540,Leg varicosity w ulcer,Varicose veins of lower extremities with ulcer,119,Varicose veins of lower extremity,5017
,454.1,4541,Leg varicosity w inflam,Varicose veins of lower extremities with inflammation,119,Varicose veins of lower extremity,5018
,454.2,4542,Varicos leg ulcer/inflam,Varicose veins of lower extremities with ulcer and inflammation,119,Varicose veins of lower extremity,5019
,454.8,4548,"Varic vein leg,comp NEC",Varicose veins of lower extremities with other complications,119,Varicose veins of lower extremity,5020
,454.9,4549,Asympt varicose veins,Asymptomatic varicose veins,119,Varicose veins of lower extremity,5021
,455.0,4550,Int hemorrhoid w/o compl,Internal hemorrhoids without mention of complication,120,Hemorrhoids,5022
,455.1,4551,Int thrombos hemorrhoid,Internal thrombosed hemorrhoids,120,Hemorrhoids,5023
,455.2,4552,Int hemrrhoid w comp NEC,Internal hemorrhoids with other complication,120,Hemorrhoids,5024
,455.3,4553,Ext hemorrhoid w/o compl,External hemorrhoids without mention of complication,120,Hemorrhoids,5025
,455.4,4554,Ext thrombos hemorrhoid,External thrombosed hemorrhoids,120,Hemorrhoids,5026
,455.5,4555,Ext hemrrhoid w comp NEC,External hemorrhoids with other complication,120,Hemorrhoids,5027
,455.6,4556,Hemorrhoids NOS,Unspecified hemorrhoids without mention of complication,120,Hemorrhoids,5028
,455.7,4557,Thrombos hemorrhoids NOS,Unspecified thrombosed hemorrhoids,120,Hemorrhoids,5029
,455.8,4558,Hemrrhoid NOS w comp NEC,Unspecified hemorrhoids with other complication,120,Hemorrhoids,5030
,455.9,4559,Residual hemorrhoid tags,Residual hemorrhoidal skin tags,120,Hemorrhoids,5031
,456.0,4560,Esophag varices w bleed,Esophageal varices with bleeding,153,Gastrointestinal hemorrhage,5032
,456.1,4561,Esoph varices w/o bleed,Esophageal varices without mention of bleeding,138,Esophageal disorders,5033
,456.20,45620,Bleed esoph var oth dis,"Esophageal varices in diseases classified elsewhere, with bleeding",153,Gastrointestinal hemorrhage,5034
,456.21,45621,Esoph varice oth dis NOS,"Esophageal varices in diseases classified elsewhere, without mention of bleeding",138,Esophageal disorders,5035
,456.3,4563,Sublingual varices,Sublingual varices,121,Other diseases of veins and lymphatics,5036
,456.4,4564,Scrotal varices,Scrotal varices,121,Other diseases of veins and lymphatics,5037
,456.5,4565,Pelvic varices,Pelvic varices,121,Other diseases of veins and lymphatics,5038
,456.6,4566,Vulval varices,Vulval varices,121,Other diseases of veins and lymphatics,5039
,456.8,4568,Varices of other sites,Varices of other sites,121,Other diseases of veins and lymphatics,5040
,457.0,4570,Postmastect lymphedema,Postmastectomy lymphedema syndrome,121,Other diseases of veins and lymphatics,5041
,457.1,4571,Other lymphedema,Other lymphedema,121,Other diseases of veins and lymphatics,5042
,457.2,4572,Lymphangitis,Lymphangitis,121,Other diseases of veins and lymphatics,5043
,457.8,4578,Noninfect lymph dis NEC,Other noninfectious disorders of lymphatic channels,121,Other diseases of veins and lymphatics,5044
,457.9,4579,Noninfect lymph dis NOS,Unspecified noninfectious disorder of lymphatic channels,121,Other diseases of veins and lymphatics,5045
,458.0,4580,Orthostatic hypotension,Orthostatic hypotension,117,Other circulatory disease,5046
,458.1,4581,Chronic hypotension,Chronic hypotension,117,Other circulatory disease,5047
,458.21,45821,Hemododialysis hypotensn,Hypotension of hemodialysis,238,Complications of surgical procedures or medical care,5048
,458.29,45829,Iatrogenc hypotnsion NEC,Other iatrogenic hypotension,238,Complications of surgical procedures or medical care,5049
,458.8,4588,Hypotension NEC,Other specified hypotension,117,Other circulatory disease,5050
,458.9,4589,Hypotension NOS,"Hypotension, unspecified",117,Other circulatory disease,5051
,459.0,4590,Hemorrhage NOS,"Hemorrhage, unspecified",117,Other circulatory disease,5052
,459.10,45910,Postphlbtc synd w/o comp,Postphlebetic syndrome without complications,121,Other diseases of veins and lymphatics,5053
,459.11,45911,Postphlebtc synd w ulcer,Postphlebetic syndrome with ulcer,121,Other diseases of veins and lymphatics,5054
,459.12,45912,Postphlebtc syn w inflam,Postphlebetic syndrome with inflammation,121,Other diseases of veins and lymphatics,5055
,459.13,45913,Postphl syn w ulc&inflam,Postphlebetic syndrome with ulcer and inflammation,121,Other diseases of veins and lymphatics,5056
,459.19,45919,Postphleb synd comp NEC,Postphlebetic syndrome with other complication,121,Other diseases of veins and lymphatics,5057
,459.2,4592,Compression of vein,Compression of vein,121,Other diseases of veins and lymphatics,5058
,459.30,45930,Chr venous hypr w/o comp,Chronic venous hypertension without complications,121,Other diseases of veins and lymphatics,5059
,459.31,45931,Chr venous hyper w ulcer,Chronic venous hypertension with ulcer,121,Other diseases of veins and lymphatics,5060
,459.32,45932,Chr venous hypr w inflam,Chronic venous hypertension with inflammation,121,Other diseases of veins and lymphatics,5061
,459.33,45933,Chr ven hyp w ulc&inflam,Chronic venous hypertension with ulcer and inflammation,121,Other diseases of veins and lymphatics,5062
,459.39,45939,Chr venous hyp comp NEC,Chronic venous hypertension with other complication,121,Other diseases of veins and lymphatics,5063
,459.81,45981,Venous insufficiency NOS,"Venous (peripheral) insufficiency, unspecified",121,Other diseases of veins and lymphatics,5064
,459.89,45989,Circulatory disease NEC,Other specified disorders of circulatory system,117,Other circulatory disease,5065
,459.9,4599,Circulatory disease NOS,Unspecified circulatory system disorder,117,Other circulatory disease,5066
,460,460,Acute nasopharyngitis,Acute nasopharyngitis [common cold],126,Other upper respiratory infections,5067
,461.0,4610,Ac maxillary sinusitis,Acute maxillary sinusitis,126,Other upper respiratory infections,5068
,461.1,4611,Ac frontal sinusitis,Acute frontal sinusitis,126,Other upper respiratory infections,5069
,461.2,4612,Ac ethmoidal sinusitis,Acute ethmoidal sinusitis,126,Other upper respiratory infections,5070
,461.3,4613,Ac sphenoidal sinusitis,Acute sphenoidal sinusitis,126,Other upper respiratory infections,5071
,461.8,4618,Other acute sinusitis,Other acute sinusitis,126,Other upper respiratory infections,5072
,461.9,4619,Acute sinusitis NOS,"Acute sinusitis, unspecified",126,Other upper respiratory infections,5073
,462,462,Acute pharyngitis,Acute pharyngitis,126,Other upper respiratory infections,5074
,463,463,Acute tonsillitis,Acute tonsillitis,124,Acute and chronic tonsillitis,5075
